callerNumber,calledNumber,startTime,callDuration,endTime,originCellID,destCellID,originLat,destLat,originLong,destLong,callType,imei,imsi,connectionType,accessType
9943101488,9371734516,2020-02-10 22:21:58.488843,7108,2020-02-11 00:20:26.488843,40440-31171-7815976,40440-13127-17691,12.983779907227,13.022232055664,80.220108032227,80.174789428711,SMS-OUT,588001958137217,701352507298623,PP,2G
9362137614,9380689613,2020-04-10 10:42:08.503276,2912,2020-04-10 11:30:40.503276,40440-31014-6630549,40440-7012-33613,13.052444458008,12.934341430664,80.246200561523,80.125350952148,CALL-IN,110009206199636,272909438579631,PP,2G
9362137614,9871956692,2020-04-10 09:48:44.927116,5603,2020-04-10 11:22:07.927116,40440-31192-7811125,40440-31031-6801521,13.027725219727,12.942581176758,80.261306762695,80.133590698242,SMS-IN,110009206199636,272909438579631,PP,3G
9362137614,9998309839,2020-03-19 13:36:05.322840,3033,2020-03-19 14:26:38.322840,40440-31021-6729694,40440-31011-6623871,13.146515,13.06755065918,80.215302,80.258560180664,CALL-OUT,110009206199636,272909438579631,PP,2G
9362137614,9179029689,2020-02-20 10:59:56.008691,3791,2020-02-20 12:03:07.008691,40440-41025-231373590,40440-105-2853,13.114832,13.048325,80.226379,80.280533,CALL-IN,110009206199636,272909438579631,PP,4G
9362137614,9815827683,2020-06-11 06:26:58.554886,2794,2020-06-11 07:13:32.554886,40440-31033-6795472,40440-31013-6627277,12.906875610352,13.033218383789,80.188522338867,80.265426635742,SMS-OUT,110009206199636,272909438579631,PP,4G
9362137614,9875662396,2020-03-03 08:17:02.081351,6613,2020-03-03 10:07:15.081351,40440-31162-7616211,40440-31272-8366636,13.070984,13.056564,80.246201,80.111618,CALL-OUT,110009206199636,272909438579631,PP,4G
9362137614,9379419041,2020-06-13 00:23:03.209251,1948,2020-06-13 00:55:31.209251,40440-31271-8337035,40440-31023-6700245,13.08609,13.118362426758,80.205002,80.078659057617,CALL-OUT,110009206199636,272909438579631,PP,3G
9362137614,9702276220,2020-07-14 06:43:21.500254,1577,2020-07-14 07:09:38.500254,40440-31212-7989210,40440-605-61972,12.900009155273,13.085195,80.22834777832,80.283612,SMS-OUT,110009206199636,272909438579631,PP,2G
9362137614,9324563402,2020-03-27 15:06:23.358613,1305,2020-03-27 15:28:08.358613,40440-5111-29773,40440-31193-18350,13.041458129883,12.974166870117,80.126724243164,80.154190063477,CALL-IN,110009206199636,272909438579631,PP,3G
9362137614,9184949261,2020-04-25 19:15:30.687689,1503,2020-04-25 19:40:33.687689,40440-31011-14162,40440-31193-6798402,13.052444458008,12.982406616211,80.25032043457,80.217361450195,CALL-OUT,110009206199636,272909438579631,PP,2G
9199236069,9986265878,2020-03-07 06:52:40.682569,2716,2020-03-07 07:37:56.682569,40440-41002-231177217,40440-41002-231177217,13.055649,13.055649,80.275955,80.275955,SMS-OUT,642412510375893,374493327798609,PP,3G
9832889571,9474964495,2020-06-05 11:55:21.885443,1649,2020-06-05 12:22:50.885443,40440-11213-20951,40440-11213-20951,12.824478149414,12.824478149414,80.221481323242,80.221481323242,SMS-IN,359304397565667,811607902436372,PP,3G
9989334477,9496481957,2020-02-19 21:52:45.070572,4867,2020-02-19 23:13:52.070572,40440-31183-7752449,40440-31183-7752449,13.035278,13.035278,80.178909,80.178909,SMS-IN,189347550324464,677145529980659,PP,4G
9696122597,9267766203,2020-01-02 06:16:43.984216,4673,2020-01-02 07:34:36.984216,40440-31272-8378397,40440-31272-8378397,13.029098510742,13.029098510742,80.027847290039,80.027847290039,CALL-IN,593833258196172,978920129547797,PP,3G
9713723554,9185628243,2020-05-08 06:32:00.470313,5386,2020-05-08 08:01:46.470313,40440-41015-231040513,40440-41015-231040513,12.958004,12.958004,80.150176,80.150176,CALL-OUT,534097244789452,487433266629105,PP,4G
9199782062,9450178620,2020-05-16 15:58:18.231774,1824,2020-05-16 16:28:42.231774,40440-31193-7839340,40440-31193-7839340,12.987899780273,12.987899780273,80.195388793945,80.195388793945,CALL-OUT,534887844866070,811165366036197,PP,3G
9982637385,9122223455,2020-04-23 01:22:49.336546,6452,2020-04-23 03:10:21.336546,40440-41041-230451202,40440-41041-230451202,13.016738891602,13.016738891602,80.270919799805,80.270919799805,SMS-OUT,157302433367391,785499070889010,PP,2G
9698634417,9886961809,2020-05-24 13:57:55.501901,1856,2020-05-24 14:28:51.501901,40440-3019-65522,40440-3019-65522,13.130722045898,13.130722045898,80.255813598633,80.255813598633,SMS-OUT,845189971303494,866941950344604,PP,3G
9783793979,9641014931,2020-04-01 03:30:54.846180,3263,2020-04-01 04:25:17.846180,40440-31023-7768751,40440-31023-7768751,13.04557800293,13.04557800293,80.112991333008,80.112991333008,SMS-OUT,214721376369884,620018773492118,PP,2G
9496627664,9862437754,2020-03-07 15:47:24.664113,4947,2020-03-07 17:09:51.664113,40440-31011-6656210,40440-31011-6656210,13.069611,13.069611,80.272293,80.272293,CALL-OUT,226678702339157,739085766873932,PP,2G
9875762525,9465667921,2020-02-29 06:52:02.996958,2249,2020-02-29 07:29:31.996958,40440-41051-231287555,40440-41051-231287555,12.965469,12.965469,80.206375,80.206375,CALL-IN,208575175930902,150452375707359,PP,4G
